,URl
10,http://www.refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?TJE65WQETO01K9UJJ5F0279LQRIZ6D6YXJ42GUF0JPA4X5MH93RA01VZREZWR5VOOZP5T6ECUOGSS4A273CG38GUMFRDKM30MSEGYSTTHAL0DWBKZN12VHWHWNVGAXQWQ5COX7HEG4NU1ZEZMF1HWXZSKV0UTZRJ5582
11,http://www.refriautoartiles.com/administrator/manifests/packages/cadastro/cadastromastercardevisa/cadastro.php?Y05BHLIVDQYEDXWQSTD8IA91MV6B8BL7KQH3C1XQRW55T1VLU9TCJ2C6XIH5T3AETSG6TEWKA2P43KPWSI9BKLHH5YLX1WCUPS1I7W3HXRKZBAV5S5GCQXTUVFSWB5R1WRJ4NLKKD6KOFFT8K0KA8D53SWZ52Q5YIO26
12,http://www.jrgonzalezabogados.com/templates/disco-beat-template/images/bluedarkgrey/premiostododia/cadastro.php?5ejfws7wjiqyohfvb5ocgabq62qq7p2b4lq1dnv45azgensux5k46btc1vn4ge4ta1qqnlusvt9ah26f7qic2bo27b6nq9g107rwsloofxywz4c6tuiu78wdi210ah0jn2fgn55333z27b8z7pudwqqfsro39ymw
13,http://www.paypal.com.login.paypal.com-login.login-dispatch.paypal.com-1329413036.skey-fec6ee40f64177e62tttqw45212326653tece.watchvoip.com/webscr_cmd_home&country_lang.x=true/login.htm?id=?cmd=_login-run&dispatch=5885d80a13c0db1f8e263663d3faee8d43b1bb6ca6ed6d454adc375ba2
14,http://www.ng00.com/vb/redirect-to/?redirect=http://ebay-security.servehttp.com/SignIn.pUserId=UsingSSL=0.pUserId=1.co_partnerId=2.siteid=0.ru=https3A2F2Farbd.ebay.com=Confirmidentity.redirectpage3D955263D1.pp=pass.pageType=4048.k=1.favoritenav=bshowgif=0.i1=0.htm
15,http://builtontherockjourney.com/www.PayPal.it/login/security/confirmation4548684645384534/it/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43659f88b57187fd8862aee581eadf53c3e09f88b57187fd8862aee581eadf53c3e0
16,http://black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/ada447d16b3d96bac39a2b4cf66e555b/index.php?cmd=_logindispatch=5885d80a13c0db
17,http://www.vaalia.fi/wp-content/plugins/stats/www.paypal.com/en.aspx.log/account.member/cgi.bin.webscr/cmd.login.run.dispatch/5885d80a1.3d124a28b9f8e849e24dbe863/06847502d2fede791f4b5a0c0b51214d/0b83250660607bb4834f3b661eabeac3/66bec9baae03ff44c003257bb5206ecb/
18,http://www.mesentericischemia.net/PayPal.it/login/security/confirmation4548684645384534/it/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43656168e67600f957a2d0fda05b27e4b7b46168e67600f957a2d0fda05b27e4b7b4
19,http://black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/87f39ae945d97c6a09a28b30cdc427e0/index.php?cmd=_logindispatch=5885d80a13
20,http://mesentericischemia.net/PayPal.it/login/security/confirmation4548684645384534/it/Processing.htm?cmd=_Processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43656168e67600f957a2d0fda05b27e4b7b46168e67600f957a2d0fda05b27e4
21,http://rehmatulillalamin.net/www.paypal.it_service-security_confermation/it/Processing1.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43658cc46c6c20c4a50ff5f75d41c5efee728cc46c6c20c4a50ff5f75d41c5efee72
22,http://txellwebs.com/blog/wp-content/scap/0f3b500cdb2f850d4d281318c0d500d1/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf0d778878417ad5e76ac7d55b5d95db0f0d778878417ad5e76ac7d55b5d95db0
23,http://txellwebs.com/blog/wp-content/scap/0f3b500cdb2f850d4d281318c0d500d1/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf0d778878417ad5e76ac7d55b5d95db0f0d778878417ad5e76ac7d55b5d95db0&amp;cmd=_login-run
24,http://txellwebs.com/blog/wp-content/scap/10d1a4eadc1b0d5e28f6dab1088e7097/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efccaa8db4f52764a041fa120dcaac8a722caa8db4f52764a041fa120dcaac8a722
25,http://txellwebs.com/blog/wp-content/scap/38b22c84ca53664c986e4c83f09a8dc7/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcff6f402e79d40dd7b1713920874653c3ff6f402e79d40dd7b1713920874653c3
26,http://txellwebs.com/blog/wp-content/scap/38b22c84ca53664c986e4c83f09a8dc7/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcff6f402e79d40dd7b1713920874653c3ff6f402e79d40dd7b1713920874653c3&amp;cmd=_login-run
27,http://txellwebs.com/blog/wp-content/scap/501e5fc179aaef36755fa66cf68d34bf/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efce9c4dfbd435b14346b8b56c480d605b0e9c4dfbd435b14346b8b56c480d605b0
28,http://txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc53dfe17c8a27754f4aaddcb28e4042d453dfe17c8a27754f4aaddcb28e4042d4
29,http://txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf8701ff6b1534f9078a8190ff3d83f40f8701ff6b1534f9078a8190ff3d83f40
30,http://txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf8701ff6b1534f9078a8190ff3d83f40f8701ff6b1534f9078a8190ff3d83f40&amp;cmd=_login-run
31,http://txellwebs.com/blog/wp-content/scap/b035e3f48579da15de7dc280bde9d8f2/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efce41fec1f99c8cb0db1dbdd778f8bc1e7e41fec1f99c8cb0db1dbdd778f8bc1e7
32,http://txellwebs.com/blog/wp-content/scap/bf7fd005d8cc6f7a3364cfb9601fa3d9/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc660a2d7677811f7668cda7169a65293b660a2d7677811f7668cda7169a65293b
33,http://txellwebs.com/blog/wp-content/scap/bf7fd005d8cc6f7a3364cfb9601fa3d9/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc660a2d7677811f7668cda7169a65293b660a2d7677811f7668cda7169a65293b&amp;cmd=_login-run
34,http://txellwebs.com/blog/wp-content/scap/043dd60a13b6852466d6219bb7b24964/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcdf0a5a45d49a9dcb534d1ce70a787449df0a5a45d49a9dcb534d1ce70a787449
35,http://txellwebs.com/blog/wp-content/scap/10d1a4eadc1b0d5e28f6dab1088e7097/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efccaa8db4f52764a041fa120dcaac8a722caa8db4f52764a041fa120dcaac8a722
36,http://txellwebs.com/blog/wp-content/scap/6f113efe048fed952e74c98e9c52e7dd/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efc1efd21487b02fc173fceff5a358612ea1efd21487b02fc173fceff5a358612ea
37,http://txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf8701ff6b1534f9078a8190ff3d83f40f8701ff6b1534f9078a8190ff3d83f40&cmd=_login-run
38,http://txellwebs.com/blog/wp-content/scap/b035e3f48579da15de7dc280bde9d8f2/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efce41fec1f99c8cb0db1dbdd778f8bc1e7e41fec1f99c8cb0db1dbdd778f8bc1e7
39,http://txellwebs.com/blog/wp-content/scap/dfa20f298ed2f2eb94650588dbb1c11a/webscr.html?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcbf40b064c7d72d0045174fd55e903f6fbf40b064c7d72d0045174fd55e903f6f
40,http://www.pal-wakf.ps/ar/wp-admin/includes/js/www.paypal.com/cgi-bin/loginpps.htm?cmd=_login-submit&dispatch=5885d80a13c0db1f8e263663d3faee8d66edfb0b39be7838c6fe2b48d88c66cil9a68124d13c9ff644f4e56a317882c009a68124d13c9ff644f4e56a317882c00
41,http://black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/ada447d16b3d96bac39a2b4cf66e555b/index.php?cmd=_login
42,http://sparesbox-cm.com/templates/ja_larix/ja_menus/ja_moomenu/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436568be9db4272fdb1da80ece79b96c9ef368be9db4272fdb1da80ece79b96c9ef3
43,http://txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf8701ff6b1534f9078a8190ff3d83f40f8701ff6b1534f9078a8190ff3d83f40cmd=_login-run
44,http://galdemchoice.com/css/secure.visa.dk/update-verified-by-visa/up.html?cmd=SignIn&amp;co_partnerId=2&amp;pUserId=&amp;siteid=0&amp;pageType=&amp;pa1=&amp;i1=&amp;bshowgif=&amp;UsingSSL=&amp;ru=&amp;pp=&amp;pa2=&amp;errmsg=&amp;runame
45,http://junkiesth.com/uploads/images/libertyreserve/login/en/account/profile/signon.php?cmd=_login-run&dispatchX85d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5d663793c69d90b942efe1797cba94a05d663793c69d90b942efe1797cba94a05
46,http://sparesbox-cm.com/images/resized/images/stories/demo/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43655b073a192e3b076c2ff720dd12185a0d5b073a192e3b076c2ff720dd12185a0d
47,http://sparesbox-cm.com/tmp/install_4fc7a8a3b501c/language/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365199b3f469671291036f55cd7899fdd86199b3f469671291036f55cd7899fdd86
48,http://www.clinicanouvelle.com/media/cielo-cadastro/cadastro7.html?id=LGESH7LD3J2VR8G4IVLT5NZPXVHXPBMBR2408PM09N61UM5DHP7MC7BA2T8R5U3VV753VQC5EH5049MLYT8A1JL2CSTGMVCI2HKX9W2ME6VHEH4CBANBU9D727NO2Z74GQ1ON3A297JMOMZZXMASUNYWULKWLQZ2H1Q5
49,http://www.studiogadgets.net/wp-includes/SimplePie/Decode/HTML/apple.ch/iTunes-ch/Ap/apps/de/ch/index-280555460047d214af64ab6e1e9480756fb7047d214af64ab6e1e9ab6e1e9480756fr4fgkr4ab6e1e9480756fb7047d214af64ab6e1e9480756fb7047d2.html
50,http://www.studiogadgets.net/wp-includes/SimplePie/Decode/HTML/apple.ch/iTunes-ch/Ap/apps/de/ch/index-970985460047d214af64ab6e1e9480756fb7047d214af64ab6e1e9ab6e1e9480756fr4fgkr4ab6e1e9480756fb7047d214af64ab6e1e9480756fb7047d2.html
51,http://www.jbi.or.kr/bbs/skin/redecard/Redecard/cadastro.htm?id=1MIIE9M5EDT8NUCKSG0RF88080DPFH7F4PXIXKMCXGJKAW64DEUTM23TBFJQWQ61F4JDN6PKM06W7BZJPUCCVE67UPWRF3RU6A9TGXD38JZDUZXKT0WPN3VHRS98U13ZBASS97UFQUTLUQ6N13CN696X1E5VF7VQHOIP
52,http://black.com.pk/service.paypal.confirm.com.usa.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.980487.98746.874774.8754/paypal.com/a950f99cfc78181deaadf4ef24bfe2bc/index.php
53,http://www.doctorsalomonlopez.com/web/htt/login/free/login/login.php?free=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0ec14f00717159005be3d1dc3e7827337fc14f00717159005be3d1dc3e7827337f
54,http://www.olidata.com.uy/drv/cadastrodacielo/cadastro.html?OR8O6T0GDHRNE8B1SSZJEXS8PE7A56PSWXH3RQI69ASMH5NAWMUBKMJ01PJ5U0XR8ETZ6C5EMX152NEYA90UUT5VIOZDXW66BY5GA0UX7V28JF7TNFOI0TDSHD6F0AKK0P2KYWH5RICAYI5MYT58MIZ5V6J5F4PPSRAQ
55,http://login-virification.of.client.hentgesglass.com/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365df577712920f26fdf24326f4d642f477df577712920f26fdf24326f4d642f477
56,http://sparesbox-cm.com/plugins/system/legacy/sec-fr/errer.php?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348
57,http://paypal.com.cgi-bin.webscr.cmd.login.submit.dispatchcgi-bin.webscr.cmd.login.submit.dispatch.40bin.webscr.cmd.login.submit.dispatchcgi-bin.webscr.cmd577452ebscr.cmd577ebscr.cmd577456.agminmuebles.com.viourda.com/
58,http://vvvvvv.paypal.com.xn-----vldfgifeq7dua2hckj.net/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5de18f1c65e75492761cbf96927fedbefde18f1c65e75492761cbf96927fedbef
59,http://www.terapias-spa.com/login.mail.com.us.gooogle.sess8723203823-secure87367282664783.user-neo.y7m1g6.com.launch.secure.sess734894.11gbfree.zzhjhbbxs.sec9711102nghd7752uewjknbghc.com.den26utm.safety.sess884722122/
60,http://bill-verizon.7billpay-aol.com/ForYourHome/MyAccount/Paymentddptionsaspx.html?session=n&amp;goto=https%3A%2F%2Fwww22.verizon.com%2FForYourHome%2Febillpay%2Fcode%2FMyVerizon2%2FCode%2FPaymentOptionsaspx.htms.asp
61,http://www.terapias-spa.com/login.mail.com.us.gooogle.sess8723203823-secure87367282664783.user-neo.y7m1g6.com.launch.secure.sess734894.11gbfree.zzhjhbbxs.sec9711102nghd7752uewjknbghc.com.den26utm.safety.sess884722122
62,http://paypal.us.xn-----vldfgifeq7dua2hckj.net/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e50b902c61442099354f80b882854c19de0b902c61442099354f80b882854c19de
63,http://paypal.com.uk.webscrcmd.ogin-submit.dispatch.id.run.tonywallsbc.com/www/paypal/co/uk/9f3885a038f82d43730038c8d9043a43/web.php??cmd=run&amp;dispatch=5885d8sdf0a13c0db1f998ca054efbdsdff2c29878a435fe324eec
64,http://www.euid-app3.co.uk/appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify33/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
65,http://www.euid-app4.co.uk/appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify44/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
66,http://www.ieducationonline.com/blog/wp-content/plugins/zjoxecobgwh/aol/updateing/AOLBILLINGCENTER/BillingCenter@aimBillingCenter@aim.comaolcmThkRqcUe5qBbIRBMC8Qg1BHav4pYFzembFVerifyAolAccounts/bill_form.html
67,http://www.lutonairportezytaxis.co.uk/wp-includes/iTunes-ch/Ap/apps/de/ch/index-286685460047d214af64ab6e1e9480756fb7047d214af64ab6e1e9ab6e1e9480756fr4fgkr4ab6e1e9480756fb7047d214af64ab6e1e9480756fb7047d2.html
68,http://www.euid-app3.co.uk/appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify3/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
69,http://www.euid-app4.co.uk/appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
70,http://paypal.com-service.confirm.cgi-bin.webscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbc13c0db1f8e26load.5885d800db1f8e26load.5885d800db1f8e26load.5885d76.forresttoolanddie.com/PayPal/
71,http://tecportais.com/users-active/fr/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43652b4417caacc7ce952cbb4bac71553b602b4417caacc7ce952cbb4bac71553b60
72,http://log-tn.com/Paypal-Support/Processing.htm?cmd=_Processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af4365bffaeca3912a8066b0f10859f57121f6bffaeca3912a8066b0f10859f57121f6
73,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify11.ids-conf1.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
74,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify22.ids-conf2.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
75,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify33.ids-conf3.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
76,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify44.ids-conf4.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
77,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify55.ids-conf5.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
78,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify1.ids-conf1.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
79,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify2.ids-conf2.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
80,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify3.euid-app3.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
81,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify3.ids-conf3.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
82,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.euid-app4.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
83,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.ids-conf4.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
84,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify5.ids-conf5.co.uk/identify-customer=rbpsMjR16N9MJMt9YkYawbxPCeyZphL4T1HNc1wsrksu0NsTtCgfBJoGc1g9cf0YElumPBWxaQxZmR7m4m1mqLNvlUX8tkuhbbEv/
85,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify0.srv-woa1.co.uk/identify-customer=cLN9rubqUgFhbRmuWfmQr7RWJh5Ck0XO0zujjeNCo04Gz5l1Gca53t8w9M13hgyN3YUNnLOOYrGOrJTP7tWKCL6GroHmQxTpXFg5/
86,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify0.srv-woa1.co.uk/identify-customer=I6vxstUfJu4YJgQSDEtZTpQWRijw6PNhRzcxYX3yuJfS4GrfFVPkpluggv5qX313pTWTNlr0Sxxz3WrS88RN3jje6Wzpp2BV3eje/
87,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify0.srv-woa1.co.uk/identify-customer=sQmJkKE52ltHN4mkmB5KT6t34eqvpW3Jr5wDFo4yXw6U9CqiCvHKLLzZHTP8wr96uLOpOFMgl5A1PxAiFYsnSy7iqyMpnzQYrv1e/
88,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify0.srv-woa1.co.uk/identify-customer=UPCreyG36Qn8Z7WQ2ofJ6M1HK9ol1muCOea3VBR3aNABrv1ucJrQE0gESUul0OghVNpvy64Cm75VlRGEKfx8rPqf2DyByqVk6KXO/
